network,snapshot_at,period,channel_code,channel_label_en,channel_label_ne,txn_count,amount_npr,source
Fonepay,2026-09-21T00:00:00+05:45,cumulative,npci,NPCI (India),NPCI (भारत),23975,61471356,Fonepay till 2026-09-20
Fonepay,2026-09-20,daily,npci,NPCI (India),NPCI (भारत),40,367055,Fonepay day 2026-09-20
Fonepay,2026-09-21T00:00:00+05:45,cumulative,alipay,Alipay,Alipay,4331,22616723,Fonepay till 2026-09-20
Fonepay,2026-09-20,daily,alipay,Alipay,Alipay,46,379013,Fonepay day 2026-09-20
Fonepay,2026-09-21T00:00:00+05:45,cumulative,ibft,IBFT,IBFT,3453,19407969,Fonepay till 2026-09-20
Fonepay,2026-09-20,daily,ibft,IBFT,IBFT,1,11111,Fonepay day 2026-09-20
Fonepay,2026-09-22T00:00:00+05:45,cumulative,domestic_qr,Domestic QR,घरेलु QR,838162,2255745331,Fonepay till 2026-09-21
Fonepay,2026-09-21,daily,domestic_qr,Domestic QR,घरेलु QR,278,3027981,Fonepay day 2026-09-21
Fonepay,2026-09-22T00:00:00+05:45,cumulative,fonepay_bills,Fonepay Bills,फोनपे बिल्स,64065,205134047,Fonepay till 2026-09-21
Fonepay,2026-09-21,daily,fonepay_bills,Fonepay Bills,फोनपे बिल्स,403,2783450,Fonepay day 2026-09-21
Fonepay,2026-09-22T00:00:00+05:45,cumulative,npci,NPCI (India),NPCI (भारत),24012,62000386,Fonepay till 2026-09-21
Fonepay,2026-09-21,daily,npci,NPCI (India),NPCI (भारत),36,529029,Fonepay day 2026-09-21
Fonepay,2026-09-22T00:00:00+05:45,cumulative,alipay,Alipay,Alipay,4371,22789669,Fonepay till 2026-09-21
Fonepay,2026-09-21,daily,alipay,Alipay,Alipay,43,182923,Fonepay day 2026-09-21
Fonepay,2026-09-22T00:00:00+05:45,cumulative,ibft,IBFT,IBFT,3453,19407969,Fonepay till 2026-09-21
